"CODE","NAME_KZ","NAME_RU"
"11440101","РПК, ШШК-де өндіріске берілген субсидияларды шегергендегі өндіріске садынатын басқа да салықтар","другие налоги на производство  минус субсидии на производство в ТРИ, ТЗВ"
"11440102","РПК, ШШК-де негізгі капиталды тұтыну","потребление основного капитала в ТРИ, ТЗВ"
"11440102","РПК-де негізгі капиталды тұтыну","потребление основного капитала в ТРИ"
"11440103","РПК-де таза пайда, таза аралас табыс","чистая прибыль, чистый смешанный доход в ТРИ"
"11440103","РПК, ШШК-де таза пайда, таза аралас табыс","чистая прибыль, чистый смешанный доход в ТРИ, ТЗВ"
"11440104","РПК-де еңбекақы","оплата труда в ТРИ"
"11440104","РПК, ШШК-де еңбекақы","оплата труда в ТРИ, ТЗВ"
"115101","Туризмге қатысты тұтыну","Потребление относящееся к туризму"
"11510101","тұтыну өнімдері","потребительские продукты"
"115101011","типтік өнімдерді тұтыну","потребление типичных продуктов"
"11510102","тұтынуға жатпайтын өнімдер","продукты, не относящиеся к потреблению"
"11510103","ел ішіндегі туризмге қатысты тұтыну","потребление, относящееся к туризму внутри страны          "
"115102","Жалпы ұжымдық туристік тұтыну","Общее коллективное туристское потребление"
"11510201","ұлттық деңгейдегі ұжымдық туристік тұтыну","коллективное туристское потребление на национальном уровне"
"11510202","өңірлік деңгейдегі ұжымдық туристік тұтыну","коллективное туристское потребление на региональном уровне"
"115201","Туризм саласындағы тауарлар мен қызметтердің  жалпы шығарылымы","Валовой выпуск товаров и услуг в отраслях  туризма"
"11520101","туризм саласындағы өндіріс көлемі","объем производства в сфере туризма"
"115201011","тұтыну өнімдері","потребительские продукты"
"1152010111","типтік туристік өнімдер","типичные туристские продукты"
"115201012","тұтынуға жатпайтын өнімдер","продукты, не относящиеся к потреблению"
"11520103","ішкі өндіруші өнімдерінің шығарылымы","выпуск продукции внутренних производителей"
"11520104","туризм саласындағы әртүрлі қызмет түрлерінің жалпы қосылған құны","валовая добавленная стоимость различных видов деятельности в сфере туризма"
"11520105","тұтыну  салаларына жатпайтын өнімдер","продукты, не относящиеся к потребительских отраслей"
"115301","Туризм саласындағы аралық тұтыну","Промежуточное потребление в сфере туризма"
"11530101","туризм салаларындағы аралық тұтыну","промежуточное потребление в отраслях туризма"
"11530199","басқа салалардағы аралық тұтыну","промежуточное потребление в других отраслях"
"115401","Туристік өнімдердің импорты","Импорт туристских продуктов"
"11540101","тұтыну өнімдерінің импорты","импорт потребительских продуктов"
"11540102","тұтынуға жатпайтын өнімдердің импорты","импорт продукты, не относящиеся к потреблению"
"115501","Туристік өнімдер","Туристские продукты"
"11550101","Тұтыну өнімдеріне берілген субсидияларды шегергендегі салықтар","налоги за вычетом субсидий на потребительские продукты"
"115501011","Типтік өнімдеріне берілген субсидияларды шегергендегі салықтар","налоги за вычетом субсидий на типичные продукты"
"115501012","Типтік өнімдеріне берілген субсидияларды шегергендегі салықтардағы туризмнің үлесі","доля туризма в налогах за вычетом субсидии на типичные продукты"
"11550102","тұтынуға жатпайтын өнімдеріне берілген субсидияларды шегергендегі салықтар","налоги за вычетом субсидии на не относящиеся к потреблению продуктов"
"11550103","тұтыну өнімдеріне берілген субсидияларды шегергендегі салықтардағы туризмнің үлесі","доля туризма в налогах за вчетом субсидии на  потребительские продукты"
"11550104","тұтынуға жатпайтын өнімдеріне берілген субсидияларды шегергендегі салықтардағы туризмнің үлесі","доля туризма в налогах за вычетом субсидии на не относящиеся к потреблению продуктов"
